AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1997,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,28.4,24.0,20.0,19.6
1998,17.4,19.3,23.2,27.3,28.1,28.2,30.3,33.2,27.9,24.9,21.0,19.6
1999,18.4,19.7,22.3,22.1,28.0,28.6,30.0,30.6,28.6,26.6,21.0,17.3
2000,17.9,17.8,21.3,24.4,26.9,27.9,30.3,32.0,29.7,22.5,20.8,20.0
2001,19.4,20.0,20.3,24.2,29.5,28.8,27.8,30.7,28.7,26.2,20.6,20.1
2002,16.9,19.4,21.8,22.7,26.2,27.6,30.6,31.3,27.6,26.4,20.1,17.2
2003,17.4,19.9,22.5,23.8,26.3,29.7,31.9,32.3,29.3,24.8,20.0,20.0
2004,15.7,20.9,22.8,23.8,28.1,28.0,29.9,32.6,30.8,26.5,18.7,19.8
2005,17.8,18.3,22.8,23.5,29.0,29.6,30.8,33.8,29.2,25.2,20.3,19.0
2006,17.3,18.2,23.9,25.4,27.8,31.3,28.5,32.7,30.2,28.0,21.5,20.5
2007,17.8,19.5,20.7,26.5,28.7,28.4,30.2,29.2,26.9,24.8,22.1,20.7
2008,15.8,20.5,21.5,24.9,28.9,30.4,28.7,30.3,26.8,24.0,21.0,17.8
2009,16.4,18.4,22.0,24.8,28.5,28.5,30.9,31.1,28.3,26.5,21.6,19.8
2010,17.1,20.5,21.5,26.4,28.0,30.6,30.0,29.3,29.9,25.4,22.2,20.9
2011,16.5,19.2,22.0,24.6,28.5,30.9,29.3,31.2,30.2,26.9,22.4,18.7
2012,17.5,19.5,22.4,24.2,29.6,30.7,29.2,32.2,30.4,25.5,21.3,20.9
2013,15.8,17.3,22.7,24.5,26.6,27.9,30.9,33.2,28.2,25.1,20.9,18.8
2014,18.4,16.6,22.2,26.9,29.2,29.8,30.9,32.6,28.2,24.2,21.9,20.0
2015,16.6,19.2,20.9,27.0,27.1,30.0,31.1,31.3,28.6,29.0,22.5,16.6
2016,18.7,19.4,21.1,22.2,29.5,31.7,29.1,30.7,29.1,26.1,21.7,19.7
2017,16.5,18.7,21.0,25.6,28.6,30.9,29.8,29.8,27.7,25.7,20.8,21.4
2018,17.3,18.7,21.9,23.5,27.8,30.3,32.1,31.0,28.0,25.0,20.3,19.8
2019,16.2,19.0,19.4,23.5,28.7,30.3,30.4,31.4,29.4,25.0,18.6,17.8
